"level","Age ≤ 70 years","Non-frail > 70 years","Moderate frailty > 70 years","Severe frailty > 70 years","p","test"
"","84589","18933","8961","4563","",""
"","55.50 (9.57)","76.22 (4.74)","78.86 (5.70)","81.53 (6.19)","<0.001",""
"","34.15 (7.65)","30.34 (5.85)","30.64 (6.36)","30.45 (6.62)","<0.001",""
"","98.49 (23.54)","85.41 (17.83)","84.64 (18.75)","81.95 (19.04)","<0.001",""
"","74.30 (20.29)","68.66 (18.46)","66.95 (19.62)","65.30 (20.28)","<0.001",""
"","5.11 (4.30)","8.36 (5.36)","9.85 (5.82)","11.01 (6.01)","<0.001",""
"1","50489 (59.7)","11625 (61.4)","4889 (54.6)","2078 (45.5)","<0.001",""
"2","34100 (40.3)","7308 (38.6)","4072 (45.4)","2485 (54.5)","",""
"White","64398 (76.1)","17063 (90.1)","8073 (90.1)","4145 (90.8)","<0.001",""
"South Asian","11959 (14.1)","851 (4.5)","528 (5.9)","268 (5.9)","",""
"Black","4578 (5.4)","391 (2.1)","185 (2.1)","87 (1.9)","",""
"Other","1596 (1.9)","274 (1.4)","66 (0.7)","23 (0.5)","",""
"Mixed","992 (1.2)","103 (0.5)","45 (0.5)","8 (0.2)","",""
NA,"1066 (1.3)","251 (1.3)","64 (0.7)","32 (0.7)","",""
"1-2","9810 (11.6)","3584 (18.9)","1498 (16.7)","667 (14.6)","<0.001",""
"3-4","11334 (13.4)","3531 (18.6)","1593 (17.8)","719 (15.8)","",""
"5-6","12630 (14.9)","3083 (16.3)","1459 (16.3)","703 (15.4)","",""
"7-8","15831 (18.7)","2727 (14.4)","1458 (16.3)","765 (16.8)","",""
"9-10","18463 (21.8)","2338 (12.3)","1352 (15.1)","848 (18.6)","",""
NA,"16521 (19.5)","3670 (19.4)","1601 (17.9)","861 (18.9)","",""
"0","69498 (82.2)","13536 (71.5)","3955 (44.1)","1204 (26.4)","<0.001",""
"1","15091 (17.8)","5397 (28.5)","5006 (55.9)","3359 (73.6)","",""
"0","81880 (96.8)","14742 (77.9)","5323 (59.4)","1947 (42.7)","<0.001",""
"1","2709 (3.2)","4191 (22.1)","3638 (40.6)","2616 (57.3)","",""
"0","84331 (99.7)","18884 (99.7)","8909 (99.4)","4532 (99.3)","<0.001",""
"1","258 (0.3)","49 (0.3)","52 (0.6)","31 (0.7)","",""
"0","80071 (94.7)","17306 (91.4)","6443 (71.9)","2189 (48.0)","<0.001",""
"1","4518 (5.3)","1627 (8.6)","2518 (28.1)","2374 (52.0)","",""
"0","84408 (99.8)","18894 (99.8)","8928 (99.6)","4516 (99.0)","<0.001",""
"1","181 (0.2)","39 (0.2)","33 (0.4)","47 (1.0)","",""
"0","84417 (99.8)","18911 (99.9)","8943 (99.8)","4551 (99.7)","0.057",""
"1","172 (0.2)","22 (0.1)","18 (0.2)","12 (0.3)","",""
"0","84537 (99.9)","18921 (99.9)","8951 (99.9)","4558 (99.9)","0.232",""
"1","52 (0.1)","12 (0.1)","10 (0.1)","5 (0.1)","",""
"0","84397 (99.8)","18824 (99.4)","8892 (99.2)","4520 (99.1)","<0.001",""
"1","192 (0.2)","109 (0.6)","69 (0.8)","43 (0.9)","",""
"fit","45328 (53.6)","5554 (29.3)","0 (0.0)","0 (0.0)","<0.001",""
"mild","30701 (36.3)","13379 (70.7)","0 (0.0)","0 (0.0)","",""
"moderate","7227 (8.5)","0 (0.0)","8961 (100.0)","0 (0.0)","",""
"severe","1333 (1.6)","0 (0.0)","0 (0.0)","4563 (100.0)","",""
